iter	Passed	Remaining
777	26607	24692
778	26637	24654
779	26672	24620
780	26705	24585
781	26741	24553
782	26766	24510
783	26798	24474
784	26831	24438
785	26867	24405
786	26906	24376
787	26940	24342
788	26980	24313
789	27007	24272
790	27030	24228
791	27059	24189
792	27088	24150
793	27116	24111
794	27153	24079
795	27179	24038
796	27204	23996
797	27237	23960
798	27272	23927
799	27307	23894
800	27337	23856
801	27366	23818
802	27394	23777
803	27437	23752
804	27478	23723
805	27517	23693
806	27552	23660
807	27594	23632
808	27635	23604
809	27667	23568
810	27712	23543
811	27750	23512
812	27782	23476
813	27816	23442
814	27846	23405
815	27881	23370
816	27914	23336
817	27938	23293
818	27967	23254
819	28014	23231
820	28048	23196
821	28079	23160
822	28108	23121
823	28145	23090
824	28174	23051
825	28202	23012
826	28226	22970
827	28256	22932
828	28285	22894
829	28312	22854
830	28341	22816
831	28371	22778
832	28403	22743
833	28438	22710
834	28477	22679
835	28516	22649
836	28553	22617
837	28582	22579
838	28610	22540
839	28650	22510
840	28688	22479
841	28726	22449
842	28760	22414
843	28816	22397
844	28905	22405
845	28959	22386
846	28987	22348
847	29042	22329
848	29069	22290
849	29102	22254
850	29135	22219
851	29168	22184
852	29201	22148
853	29233	22113
854	29266	22078
855	29288	22034
856	29319	21998
857	29351	21962
858	29384	21926
859	29418	21892
860	29454	21860
861	29489	21826
862	29529	21796
863	29562	21761
864	29592	21723
865	29624	21688
866	29656	21651
867	29690	21617
868	29721	21581
869	29753	21545
870	29777	21504
871	29807	21466
872	29840	21432
873	29872	21395
874	29895	21353
875	29923	21315
876	29951	21277
877	29986	21242
878	30015	21205
879	30059	21178
880	30092	21142
881	30127	21109
882	30153	21069
883	30182	21032
884	30208	20992
885	30245	20959
886	30273	20922
887	30296	20879
888	30331	20846
889	30364	20811
890	30392	20773
891	30427	20739
892	30464	20707
893	30500	20674
894	30537	20642
895	30573	20609
896	30598	20569
897	30633	20536
898	30661	20497
899	30693	20462
900	30723	20425
901	30756	20390
902	30785	20353
903	30814	20315
904	30843	20278
905	30877	20244
906	30910	20209
907	30940	20172
908	30967	20133
909	30999	20098
910	31033	20064
911	31082	20040
912	31114	20004
913	31142	19966
914	31167	19926
915	31200	19892
916	31232	19856
917	31259	19818
918	31291	19782
919	31323	19747
920	31354	19711
921	31385	19675
922	31415	19638
923	31438	19597
924	31466	19560
925	31500	19526
926	31536	19493
927	31570	19459
928	31601	19423
929	31630	19386
930	31660	19349
931	31691	19314
932	31721	19277
933	31751	19241
934	31780	19203
935	31811	19168
936	31837	19129
937	31864	19091
938	31897	19057
939	31931	19022
940	31954	18982
941	31981	18944
942	32009	18907
943	32039	18870
944	32080	18840
945	32111	18805
946	32143	18770
947	32166	18729
948	32196	18693
949	32228	18658
950	32256	18621
951	32282	18582
952	32308	18544
953	32338	18508
954	32368	18471
955	32400	18436
956	32433	18402
957	32460	18365
958	32481	18323
959	32511	18287
960	32547	18254
961	32580	18220
962	32607	18183
963	32645	18151
964	32677	18116
965	32711	18082
966	32743	18047
967	32777	18013
968	32808	17978
969	32840	17943
970	32873	17909
971	32913	17878
972	32948	17845
973	32970	17805
974	33003	17771
975	33037	17737
976	33081	17708
977	33117	17676
978	33146	17639
979	33178	17604
980	33209	17569
981	33242	17535
982	33275	17501
983	33297	17460
984	33326	17424
985	33359	17390
986	33382	17350
987	33413	17315
988	33444	17280
989	33478	17246
990	33507	17210
991	33546	17178
992	33578	17144
993	33612	17110
994	33651	17079
995	33687	17046
996	33710	17007
997	33745	16973
998	33768	16934
999	33792	16896
1000	33817	16858
1001	33844	16821
1002	33880	16788
1003	33911	16753
1004	33946	16719
1005	33974	16683
1006	34003	16646
1007	34034	16611
1008	34068	16578
1009	34126	16556
1010	34165	16525
1011	34201	16492
1012	34230	16456
1013	34260	16420
1014	34289	16384
1015	34319	16349
1016	34344	16311
1017	34371	16274
1018	34404	16239
1019	34438	16206
1020	34464	16169
1021	34494	16133
1022	34517	16094
1023	34548	16059
1024	34585	16027
1025	34616	15992
1026	34646	15956
1027	34691	15928
1028	34743	15903
1029	34787	15873
1030	34819	15839
1031	34847	15803
1032	34883	15769
1033	34912	15734
1034	34952	15703
1035	34984	15668
1036	35016	15634
1037	35050	15600
1038	35097	15572
1039	35140	15542
1040	35191	15516
1041	35255	15496
1042	35326	15478
1043	35411	15467
1044	35489	15452
1045	35521	15417
1046	35570	15389
1047	35598	15353
1048	35626	15316
1049	35658	15282
1050	35690	15247
1051	35717	15210
1052	35747	15174
1053	35780	15140
1054	35813	15106
1055	35847	15072
1056	35885	15040
1057	35914	15003
1058	35951	14971
1059	35982	14936
1060	36012	14900
1061	36040	14864
1062	36072	14829
1063	36105	14795
1064	36152	14766
1065	36178	14729
1066	36215	14696
1067	36251	14663
1068	36284	14629
1069	36312	14593
1070	36340	14556
1071	36372	14521
1072	36417	14492
1073	36460	14461
1074	36512	14435
1075	36558	14405
1076	36595	14373
1077	36623	14336
1078	36648	14299
1079	36672	14261
1080	36702	14225
1081	36731	14190
1082	36764	14155
1083	36798	14121
1084	36829	14086
1085	36862	14052
1086	36889	14015
1087	36916	13979
1088	36950	13945
